index,City,Lat,Lng,Max Temp,Cloudiness,Country,Date,Humidity,Wind Speed
0,mataura,-46.19,168.86,46.9,92,NZ,1542664536,98,19.01
1,tasiilaq,65.61,-37.64,37.4,92,GL,1542660600,86,51.67
2,saint-philippe,45.36,-73.48,35.06,90,CA,1542662100,74,2.24
3,sabang,13.72,123.58,79.79,92,PH,1542664970,88,16.78
4,hermanus,-34.42,19.24,56.22,0,ZA,1542664527,96,3.02
5,jamestown,-33.21,138.6,65.84,92,AU,1542664570,78,11.97
6,derzhavinsk,51.1,66.31,24.89,88,KZ,1542664970,91,7.38
7,vaini,15.34,74.49,67.6,0,IN,1542664547,94,2.68
8,povenets,62.85,34.83,23.5,0,RU,1542664773,88,8.39
10,tuatapere,-46.13,167.69,44.92,92,NZ,1542664533,100,20.47
11,mumbwa,-14.99,27.06,67.55,20,ZM,1542664971,80,7.49
12,hobart,-42.88,147.33,62.6,75,AU,1542661200,55,13.87
13,merauke,-8.49,140.4,79.57,8,ID,1542664971,91,13.42
14,georgetown,6.8,-58.16,82.4,40,GY,1542661200,78,11.41
15,hithadhoo,-0.6,73.08,81.59,68,MV,1542664531,100,3.24
16,yellowknife,62.45,-114.38,8.6,90,CA,1542661200,78,11.41
17,touros,-5.2,-35.46,80.52,80,BR,1542664752,81,17.78
18,pevek,69.7,170.27,-5.31,36,RU,1542663966,100,1.23
19,viedma,-40.81,-62.99,84.39,0,AR,1542664972,24,19.57
20,nalut,31.86,10.98,63.05,0,LY,1542664972,44,14.99
21,clyde river,70.47,-68.59,-9.41,75,CA,1542661200,83,25.28
22,rikitea,-23.12,-134.97,76.78,80,PF,1542664529,96,15.66
23,katobu,-4.94,122.53,82.18,0,ID,1542664973,100,7.16
24,cradock,-32.16,25.62,60.85,24,ZA,1542664973,56,2.35
25,new norfolk,-42.78,147.06,62.6,75,AU,1542661200,55,13.87
26,punta arenas,-53.16,-70.91,48.2,40,CL,1542661200,49,35.57
28,bredasdorp,-34.53,20.04,68,8,ZA,1542661200,88,2.24
29,tuktoyaktuk,69.44,-133.03,6.8,75,CA,1542661200,84,17.22
30,margate,-43.03,147.26,62.6,75,AU,1542661200,55,13.87
31,isabela,10.2,122.99,69.35,100,PH,1542664974,100,3.13
32,east london,-33.02,27.91,71.42,32,ZA,1542664520,93,22.37
33,severo-kurilsk,50.68,156.12,33.22,24,RU,1542664581,100,7.38
34,atuona,-9.8,-139.03,79.89,64,PF,1542664565,100,15.66
35,kapit,2.02,112.94,71.97,88,MY,1542664974,99,2.24
36,srednekolymsk,67.46,153.71,-15.34,48,RU,1542664590,69,2.57
37,arraial do cabo,-22.97,-42.02,69.8,90,BR,1542661200,94,13.87
38,kapaa,22.08,-159.32,80.06,1,US,1542660960,58,19.46
39,cabo san lucas,22.89,-109.91,80.6,75,MX,1542660840,39,10.29
40,lebu,8.96,38.73,42.54,0,ET,1542663942,44,4.47
41,wenatchee,47.42,-120.31,46.94,1,US,1542664380,49,4.7
